0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:40:43 +0530] "GET /Hello/idea.html HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:40:43 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:43:15 +0530] "GET /Hello/idea.html HTTP/1.1" 200 1962
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:44:33 +0530] "GET /Hello/idea.html HTTP/1.1" 200 13423
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:44:33 +0530] "GET /Hello/& HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:45:49 +0530] "GET /Hello/index.html HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:45:49 +0530] "GET /Hello/idexcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:45:52 +0530] "GET /Hello/index.html? HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:46:52 +0530] "GET /Hello/index.html? HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [03/Aug/2022:16:47:12 +0530] "GET /Hello/index.html? HTTP/1.1" 200 1389
